BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
25321    26825    25172    19       -9.2100000000e+02    -1.3127082581e+03    42.53       242.9 
25415    26930    25266    13       -9.2100000000e+02    -1.3126058411e+03    42.52       244.3 
25509    27035    25360    21       -9.2100000000e+02    -1.3118823389e+03    42.44       245.5 
25603    27140    25454    20       -9.2100000000e+02    -1.3115045485e+03    42.40       246.8 
25697    27245    25548    18       -9.2100000000e+02    -1.3111515444e+03    42.36       248.1 
25791    27350    25642    21       -9.2100000000e+02    -1.3110876271e+03    42.35       249.4 
25882    27452    25733    17       -9.2100000000e+02    -1.3109143982e+03    42.34       250.7 
25976    27557    25827    26       -9.2100000000e+02    -1.3107503533e+03    42.32       252.1 
26070    27662    25921    19       -9.2100000000e+02    -1.3106944480e+03    42.31       253.4 
26164    27767    26015    16       -9.2100000000e+02    -1.3103678464e+03    42.28       254.8 
26258    27872    26109    13       -9.2100000000e+02    -1.3102148219e+03    42.26       256.1 
26351    27975    26202    20       -9.2100000000e+02    -1.3101157252e+03    42.25       257.6 
26445    28080    26296    28       -9.2100000000e+02    -1.3100716694e+03    42.24       258.9 
26539    28185    26386    31       -9.2100000000e+02    -1.3096386091e+03    42.20       259.5 
26635    28292    26482    62       -9.2100000000e+02    -1.3096386091e+03    42.20       260.1 
26730    28397    26577    93       -9.2100000000e+02    -1.3096386091e+03    42.20       260.7 
26825    28502    26672    124      -9.2100000000e+02    -1.3096386091e+03    42.20       261.3 
26921    28609    26768    155      -9.2100000000e+02    -1.3096386091e+03    42.20       261.9 
27017    28716    26864    186      -9.2100000000e+02    -1.3096386091e+03    42.20       262.5 
27113    28823    26960    217      -9.2100000000e+02    -1.3096386091e+03    42.20       263.1 
27209    28930    27056    248      -9.2100000000e+02    -1.3096386091e+03    42.20       263.7 
27305    29037    27152    279      -9.2100000000e+02    -1.3096386091e+03    42.20       264.3 
27401    29144    27248    310      -9.2100000000e+02    -1.3096386091e+03    42.20       265.0 
27497    29251    27344    341      -9.2100000000e+02    -1.3096386091e+03    42.20       265.5 
27593    29358    27440    372      -9.2100000000e+02    -1.3096386091e+03    42.20       266.2 
27685    29460    27532    402      -9.2100000000e+02    -1.3096386091e+03    42.20       266.9 
27780    29565    27627    433      -9.2100000000e+02    -1.3096386091e+03    42.20       267.5 
27876    29672    27723    464      -9.2100000000e+02    -1.3096386091e+03    42.20       268.1 
27972    29779    27819    495      -9.2100000000e+02    -1.3096386091e+03    42.20       268.7 
28068    29886    27915    526      -9.2100000000e+02    -1.3096386091e+03    42.20       269.4 
28164    29993    28011    557      -9.2100000000e+02    -1.3096386091e+03    42.20       270.0 
28260    30100    28107    588      -9.2100000000e+02    -1.3096386091e+03    42.20       270.7 
28356    30207    28203    619      -9.2100000000e+02    -1.3096386091e+03    42.20       271.4 
28452    30314    28299    650      -9.2100000000e+02    -1.3096386091e+03    42.20       272.0 
28548    30421    28395    681      -9.2100000000e+02    -1.3096386091e+03    42.20       272.7 
28644    30528    28491    712      -9.2100000000e+02    -1.3096386091e+03    42.20       273.4 
28740    30635    28587    743      -9.2100000000e+02    -1.3096386091e+03    42.20       274.0 
28836    30742    28683    774      -9.2100000000e+02    -1.3096386091e+03    42.20       274.6 
28932    30849    28779    805      -9.2100000000e+02    -1.3096386091e+03    42.20       275.2 
29028    30956    28875    836      -9.2100000000e+02    -1.3096386091e+03    42.20       275.8 
29124    31063    28971    867      -9.2100000000e+02    -1.3096386091e+03    42.20       276.4 
